firstName,lastName,dateOfBirth,height,nationalities,positions
Paula,Nguyen,2004-03-05,1.66,Italy|Nigeria,RB|LW|RW
Christopher,Miller,2005-03-02,1.64,Germany,CB
Sheila,Mitchell,1990-05-20,2.0,South Korea,LW
Courtney,Morris,1991-04-25,1.89,Japan|Spain,CAM|ST|RW
Seth,Brown,2004-05-25,1.6,USA,CAM
Jennifer,Hammond,1993-08-31,1.78,Nigeria,LW|CAM
Marc,Page,1993-01-16,1.65,Japan|Argentina,CM|LW
Jennifer,Jones,2000-08-11,1.89,Spain,LW|CDM
Ronald,Green,1990-09-28,1.81,France,LW|CB|RB
Nathaniel,Gaines,1996-05-15,1.56,Japan,CAM|LB
Christopher,Olsen,1996-11-18,1.72,Spain|South Korea,RW
James,Yates,1991-07-11,1.79,France,ST|CM|LB
David,Wolf,1992-03-25,1.83,USA|Nigeria,CM|CAM|RB
Michelle,Fernandez,2005-01-25,1.74,Argentina|Spain,LB
Lori,Moore,2006-05-31,1.78,South Korea,CDM
Alexander,Zavala,1989-07-05,1.62,Germany,LB|LW|CDM
Holly,Ross,2003-07-07,2.08,Italy,LB
Patrick,Ramirez,1999-10-10,1.65,South Korea,RW
Julie,Johnson,1993-09-25,1.59,France|Spain,CDM|CM|LB
Angela,Russo,2004-02-17,1.98,Spain,CB|LW
Thomas,Smith,2006-09-08,1.89,Brazil,LB|LW
Raymond,Stevens,1996-06-25,1.97,USA,LW
Kenneth,Marquez,2006-11-05,1.72,Nigeria,RW|LW
Tricia,Sullivan,2005-09-03,1.83,Argentina,ST|CAM|LW
Robert,Osborne,1995-06-12,1.96,Nigeria,LW|CM
Jessica,Williams,1992-04-20,1.93,Italy,RB|RW
Regina,Nguyen,1995-06-08,1.66,France|Brazil,LW
Mary,Morgan,1991-06-17,1.79,USA|Nigeria,ST|CAM|LB
Patricia,Valenzuela,2006-09-18,1.81,Nigeria,ST|RW|CAM
Carol,Rogers,2001-09-28,1.88,Brazil|Japan,CB
James,Pitts,1990-10-04,1.62,Germany|Italy,ST|CB
Allison,Eaton,2003-12-15,1.68,South Korea|Brazil,CAM
Jennifer,Maddox,1995-02-05,1.82,Germany|Japan,CDM|CAM
Brian,Delgado,1999-10-11,1.67,Germany|South Korea,RW|LW
Katherine,Clark,1997-11-14,1.56,Italy,LB|CB
Leslie,Schmidt,1994-05-28,2.07,Italy,RB
Gary,Castaneda,1991-10-25,1.6,Japan,ST|CAM
Molly,Mccall,1993-12-02,1.97,Nigeria,RW
James,Barber,1996-08-06,1.83,USA,LB
Jaime,Smith,1992-07-31,1.57,Japan,LW|CDM
Amy,Silva,2004-03-27,1.71,South Korea|USA,RW|RB
Erik,Miller,1992-07-29,2.03,Japan|Nigeria,CAM|LB
Patrick,Clark,2002-07-30,1.87,France|Germany,CM
Allison,Braun,2007-05-31,2.09,Nigeria|South Korea,CAM|LW|ST
Daniel,Thompson,2003-01-01,1.74,Japan,ST
Bradley,Flores,1992-12-29,1.87,Brazil,CB
Raymond,Edwards,1999-11-26,1.7,Spain|Nigeria,ST|RB
Paul,Wood,1999-10-09,1.99,Spain,LW
Laura,Woods,1990-03-25,2.1,Nigeria,RB|CDM|CB
Sarah,Estrada,1998-06-08,1.75,France|Nigeria,CM|LW|LB
Derek,Sanford,1999-07-26,1.84,Argentina|Italy,RW
Brittany,Le,2001-11-29,1.64,Argentina|Nigeria,CB
Kristi,Holmes,2001-02-22,1.62,France|Argentina,CDM|CM
Erika,Reed,2003-01-10,1.66,Germany|South Korea,LW
Paul,Burton,2005-03-14,2.02,Japan|Nigeria,RB|CAM
Nathaniel,Campbell,1989-11-17,2.09,France|Japan,RB|CDM|CB
Gregory,Burns,1994-12-18,1.62,Nigeria,RW
Holly,Jacobs,1996-11-30,1.68,South Korea|Japan,ST|CB
Brian,Vaughan,1998-03-23,1.66,Spain,ST
Christina,Berry,1999-11-03,1.9,Argentina|Japan,CM
Michael,Jones,2004-09-12,1.63,USA|Brazil,RW|CDM|CM
Lindsey,Lowery,2002-10-11,1.99,Brazil,LW|RW|CDM
Susan,Johnson,1997-06-30,1.78,France,RB
Amy,Brown,2003-07-15,1.89,France,RW|CDM|LW
Joanna,Flores,2001-09-21,1.75,Spain,CB|LB
Gail,Ruiz,1993-01-17,1.67,USA,CM
Mark,Jones,2005-01-19,1.94,Japan,RW|CB
Christine,Oliver,1990-12-14,1.56,USA,CAM|CM
Julie,Baldwin,2004-06-15,2.02,Italy,CB|RB
Jason,Wallace,1998-04-27,2.07,Italy|France,RB
Katelyn,Stewart,1997-02-07,1.69,Argentina|South Korea,LW
Michael,Miller,2004-03-18,1.58,Japan|Argentina,CB|RW
Debbie,Roman,2002-03-13,1.9,Japan,LW|CAM|RB
Lisa,Ellis,2006-12-11,1.96,Italy,CB|LW|CM
Kimberly,Garcia,2006-06-25,2.04,France,CB|RW|CAM
Michael,Brady,2000-07-31,1.95,Nigeria|Italy,LW
John,Mcguire,2001-05-22,1.61,Italy,CAM
Nancy,Roberts,1998-02-04,2.05,USA,RW
Daniel,Schultz,2006-07-19,1.8,Germany,LW|CB
Antonio,Foster,1999-02-27,2.06,Spain|Argentina,RB|RW
Natalie,Perez,2003-01-04,1.8,USA|Brazil,LW|CB|CM
Casey,King,1997-07-30,1.81,South Korea|Brazil,CAM|CM
David,Harrison,2005-01-31,2.1,Spain|Germany,LW
Tina,Hicks,2005-05-05,2.05,Germany|South Korea,CM|RW|CDM
Christopher,Hamilton,2005-10-29,1.65,France,ST
Daniel,Hall,2005-05-23,1.74,USA,LW|CAM|ST
Theresa,Arellano,2006-01-14,1.94,Germany,RW
Cassandra,Jenkins,1991-12-16,1.61,Japan,CM|RB
Lori,Mccarthy,2006-06-01,1.57,Argentina|USA,RW
John,Armstrong,2004-04-23,1.95,Japan,RB
Meghan,Chavez,1991-09-07,1.95,Spain|Argentina,RW|CM
Angela,Williams,2005-04-04,1.86,Brazil|Argentina,CAM|LW|CM
Cindy,Ingram,1993-05-20,1.82,Japan,CAM
Randy,Cox,1998-01-30,1.97,Brazil|France,CB
Kimberly,Taylor,2006-03-05,1.83,South Korea,CB|RW
Brenda,Wiley,2000-05-24,1.55,USA,LW
Paul,Miller,2006-12-05,1.86,Japan,LW|LB
Sean,Hansen,2002-12-23,1.97,Nigeria,CDM|RB
Richard,Cole,1991-11-09,1.96,Germany|Argentina,LW|RB
Shari,Payne,2002-12-08,1.81,Germany,LB|RB|ST
Herbert,Mann,2000-06-25,2.07,Germany|Argentina,LB
Adrian,Mcgee,1990-11-17,1.76,Germany,CAM
Jenna,Kane,1993-03-14,1.75,Germany,CB
Adam,Martin,1994-10-29,1.95,South Korea,RB|RW|LB
Michael,Combs,1996-05-17,1.87,Japan,LB
Mark,Mccormick,2005-10-10,1.69,USA|South Korea,CAM
Cheryl,Keller,2001-04-28,1.61,Argentina|South Korea,CDM|CM|CAM
Tammy,Smith,2005-05-07,1.68,France,CM
David,Lee,1993-07-20,2.03,Germany|Spain,CDM|CAM|CM
Megan,Bass,1994-03-12,1.82,Italy|France,CB|ST
Jeffrey,Williams,1994-03-20,1.75,Italy|Brazil,CM|ST|LW
Tracy,Carter,2005-03-18,1.68,Germany|Brazil,RW|ST
Teresa,Nguyen,1990-02-18,2.1,Brazil,ST
Amanda,Juarez,2006-12-30,1.72,Nigeria|Brazil,CM|CB|ST
Amy,Holmes,1996-05-26,1.62,South Korea|Italy,RB
Phillip,Moore,1995-12-07,1.69,USA|France,CAM|RB|CDM
Barbara,Chen,1997-11-26,1.56,South Korea,LW|CDM
Kristen,Miller,2006-12-13,2.04,Italy,CAM
Patricia,Villegas,1991-12-22,1.77,Germany|Argentina,CB|CDM
Jessica,Long,2006-11-02,1.78,Argentina|Italy,RB|ST
Adam,Bray,2005-09-15,1.99,South Korea|Nigeria,CB
John,Nelson,1990-04-25,1.91,France,CDM|RB
Thomas,Ortiz,2001-09-12,1.64,Nigeria,ST|CB
William,Patel,2001-04-20,1.7,Brazil|Germany,LW
Tammy,Nguyen,1991-11-04,1.67,France,RB
Taylor,Howell,2000-05-19,1.65,France|Japan,ST|LB
Melanie,Day,1996-04-10,1.75,South Korea,CB|ST|CM
Stephen,Foster,1999-02-15,2.04,France,RW
Riley,Hoffman,2003-02-21,2.06,South Korea|Spain,RW|CB
Amy,Davis,1999-06-10,2.0,France,CDM|LW
Andrea,Johnston,1998-02-26,1.91,Argentina,RB
Crystal,Welch,1995-01-10,1.97,USA,CM|RB
Kevin,Schneider,1991-11-07,1.93,France|Japan,RW|ST
Charles,Evans,1990-04-12,1.72,Spain|Nigeria,CDM
Steve,Goodman,1989-12-24,1.57,Germany|Japan,CAM|RB
Michelle,Hebert,1997-01-09,1.58,Italy|Argentina,CDM
Sharon,Porter,2004-08-27,1.77,Italy|Argentina,ST|CDM|CB
Mary,Melton,2001-07-10,2.07,Nigeria,RW|ST
Shannon,Jackson,1993-03-14,2.01,France,CB
Jacqueline,Hopkins,1994-03-05,2.1,Nigeria|France,LB
Donald,Contreras,2005-06-24,1.69,Germany,ST
Crystal,Griffith,1995-05-17,1.7,USA,LB|ST
Jacob,Shields,1989-10-17,1.8,Japan|Germany,LB|ST
Paul,Orozco,1999-04-06,1.81,Brazil,CB
Marilyn,Heath,2005-12-30,1.65,Argentina,LW|ST
James,Morse,2001-09-10,1.91,USA,LB|LW|CM
Sara,Allen,1996-01-23,2.09,Argentina|South Korea,CDM|RW|CM
Sarah,Morris,1992-12-23,1.65,Nigeria|Brazil,CDM|CB
John,Smith,2001-05-23,1.7,USA|South Korea,CB|ST
Eric,Marshall,1993-09-22,2.04,Germany,LW|CB
Maria,Hill,1990-07-13,1.71,Nigeria,RB
Donna,Smith,2007-03-15,2.08,Nigeria,RB|ST
Heather,Wilson,2005-05-03,2.08,USA,LW
Elizabeth,Miller,1993-04-09,1.97,France|Nigeria,CB
Elizabeth,King,2002-10-25,2.05,Nigeria|Brazil,CB
Samantha,Herrera,2001-11-14,1.56,Italy|Argentina,CDM
Brittney,Koch,1991-03-05,1.57,Japan|USA,ST|CB
Nichole,Perkins,1997-02-20,1.7,USA,LW|LB|CB
Chelsea,Parker,1998-06-06,1.7,France|Brazil,CAM|CDM
Garrett,Chavez,2007-03-19,1.76,South Korea,ST|RB
Karen,Moran,2000-08-15,1.92,Spain,CM|LB
Jason,Durham,1992-07-16,1.77,USA,RW
Kyle,Burnett,1996-03-19,2.0,South Korea,ST|RW|LW
Tammy,Johnson,1997-07-08,1.96,France,LB
Taylor,Hayes,1997-08-29,1.89,Spain,RW|CDM
Michael,Parker,2003-06-24,1.69,Japan|Italy,LW|CAM
Kaylee,Cuevas,1998-04-29,1.64,Brazil|Spain,CDM|CAM
William,Sherman,1998-12-30,2.06,Italy|France,ST|CM|CDM
Paul,Anderson,1996-04-22,1.6,France,CM|ST
Amanda,Barrett,2001-10-04,1.65,South Korea,CAM
